avg_values,meas_values
0.0,687.6
0.00392156862745098,684.6
0.00784313725490196,688.2
0.011764705882352941,688.3
0.01568627450980392,688.2
0.0196078431372549,690.2
0.023529411764705882,690.8
0.027450980392156862,696.4
0.03137254901960784,696.0
0.03529411764705882,695.6
0.0392156862745098,700.2
0.043137254901960784,699.7
0.047058823529411764,699.4
0.050980392156862744,702.8
0.054901960784313725,704.2
0.058823529411764705,706.4
0.06274509803921569,706.8
0.06666666666666667,711.8
0.07058823529411765,712.9
0.07450980392156863,719.0
0.0784313725490196,717.0
0.08235294117647059,720.8
0.08627450980392157,723.9
0.09019607843137255,728.8
0.09411764705882353,734.4
0.09803921568627451,739.1
0.10196078431372549,747.5
0.10588235294117647,745.1
0.10980392156862745,751.4
0.11372549019607843,751.9
0.11764705882352941,760.9
0.12156862745098039,765.0
0.12549019607843137,771.9
0.12941176470588237,776.9
0.13333333333333333,778.2
0.13725490196078433,787.7
0.1411764705882353,786.2
0.1450980392156863,796.0
0.14901960784313725,800.3
0.15294117647058825,799.7
0.1568627450980392,817.1
0.1607843137254902,819.1
0.16470588235294117,828.5
0.16862745098039217,845.0
0.17254901960784313,847.7
0.17647058823529413,847.8
0.1803921568627451,856.2
0.1843137254901961,865.8
0.18823529411764706,880.2
0.19215686274509805,880.8
0.19607843137254902,891.8
0.2,888.4
0.20392156862745098,913.8
0.20784313725490197,926.3
0.21176470588235294,926.4
0.21568627450980393,939.3
0.2196078431372549,950.1
0.2235294117647059,960.7
0.22745098039215686,966.0
0.23137254901960785,988.7
0.23529411764705882,999.0
0.23921568627450981,1003.5
0.24313725490196078,1010.7
0.24705882352941178,1012.2
0.25098039215686274,1041.8
0.2549019607843137,1054.2
0.25882352941176473,1064.9
0.2627450980392157,1075.5
0.26666666666666666,1098.7
0.27058823529411763,1101.7
0.27450980392156865,1116.3
0.2784313725490196,1137.9
0.2823529411764706,1151.7
0.28627450980392155,1164.3
0.2901960784313726,1164.6
0.29411764705882354,1178.4
0.2980392156862745,1204.9
0.30196078431372547,1218.5
0.3058823529411765,1232.9
0.30980392156862746,1247.8
0.3137254901960784,1262.4
0.3176470588235294,1275.0
0.3215686274509804,1289.4
0.3254901960784314,1294.6
0.32941176470588235,1327.9
0.3333333333333333,1340.0
0.33725490196078434,1343.4
0.3411764705882353,1372.2
0.34509803921568627,1390.1
0.34901960784313724,1406.2
0.35294117647058826,1420.3
0.3568627450980392,1421.7
0.3607843137254902,1452.6
0.36470588235294116,1453.4
0.3686274509803922,1472.0
0.37254901960784315,1503.4
0.3764705882352941,1520.0
0.3803921568627451,1534.6
0.3843137254901961,1535.0
0.38823529411764707,1558.1
0.39215686274509803,1560.1
0.396078431372549,1594.8
0.4,1626.3
0.403921568627451,1639.3
0.40784313725490196,1637.3
0.4117647058823529,1673.8
0.41568627450980394,1691.2
0.4196078431372549,1693.1
0.4235294117647059,1688.7
0.42745098039215684,1742.3
0.43137254901960786,1758.0
0.43529411764705883,1775.1
0.4392156862745098,1794.4
0.44313725490196076,1808.5
0.4470588235294118,1809.7
0.45098039215686275,1822.9
0.4549019607843137,1853.4
0.4588235294117647,1855.7
0.4627450980392157,1883.9
0.4666666666666667,1897.4
0.47058823529411764,1904.6
0.4745098039215686,1933.8
0.47843137254901963,1950.4
0.4823529411764706,1949.1
0.48627450980392156,1978.1
0.49019607843137253,1974.7
0.49411764705882355,2005.1
0.4980392156862745,2022.3
0.5019607843137255,2021.4
0.5058823529411764,2043.4
0.5098039215686274,2053.0
0.5137254901960784,2078.7
0.5176470588235295,2081.2
0.5215686274509804,2090.3
0.5254901960784314,2093.8
0.5294117647058824,2119.6
0.5333333333333333,2143.4
0.5372549019607843,2158.9
0.5411764705882353,2170.3
0.5450980392156862,2183.1
0.5490196078431373,2179.4
0.5529411764705883,2203.3
0.5568627450980392,2220.9
0.5607843137254902,2223.9
0.5647058823529412,2248.1
0.5686274509803921,2257.1
0.5725490196078431,2272.1
0.5764705882352941,2272.6
0.5803921568627451,2296.0
0.5843137254901961,2292.5
0.5882352941176471,2318.5
0.592156862745098,2329.4
0.596078431372549,2343.2
0.6,2353.4
0.6039215686274509,2368.7
0.6078431372549019,2377.1
0.611764705882353,2386.2
0.615686274509804,2401.3
0.6196078431372549,2412.0
0.6235294117647059,2417.5
0.6274509803921569,2430.9
0.6313725490196078,2443.1
0.6352941176470588,2448.7
0.6392156862745098,2450.0
0.6431372549019608,2473.9
0.6470588235294118,2472.0
0.6509803921568628,2474.0
0.6549019607843137,2503.2
0.6588235294117647,2512.3
0.6627450980392157,2513.9
0.6666666666666666,2520.6
0.6705882352941176,2529.4
0.6745098039215687,2548.5
0.6784313725490196,2557.9
0.6823529411764706,2558.6
0.6862745098039216,2559.0
0.6901960784313725,2567.8
0.6941176470588235,2586.8
0.6980392156862745,2607.2
0.7019607843137254,2611.3
0.7058823529411765,2615.7
0.7098039215686275,2624.8
0.7137254901960784,2642.3
0.7176470588235294,2642.7
0.7215686274509804,2662.2
0.7254901960784313,2662.8
0.7294117647058823,2676.6
0.7333333333333333,2686.7
0.7372549019607844,2696.9
0.7411764705882353,2703.6
0.7450980392156863,2713.0
0.7490196078431373,2721.3
0.7529411764705882,2727.5
0.7568627450980392,2730.4
0.7607843137254902,2750.1
0.7647058823529411,2758.9
0.7686274509803922,2768.9
0.7725490196078432,2768.4
0.7764705882352941,2790.0
0.7803921568627451,2799.6
0.7843137254901961,2799.4
0.788235294117647,2817.7
0.792156862745098,2826.0
0.796078431372549,2836.6
0.8,2834.6
0.803921568627451,2845.5
